"","ID","Description","Calories","Protein","TotalFat","Carbohydrate","Sodium","Cholesterol","Calcium","Iron","Potassium","Sugar","VitaminC","VitaminD","VitaminE","HighSodium","HighCalories","HighProtein","HighSugar","HighTotalFat"
"1",1001,"BUTTER,WITH SALT",717,0.85,81.11,0.06,972,215,24,0.02,313,0.06,0,1.5,2.32,1,1,0,0,1
"2",1002,"BUTTER,WHIPPED,WITH SALT",717,0.85,81.11,0.06,1069,219,24,0.16,335,0.06,0,1.5,2.32,1,1,0,0,1
"3",1003,"BUTTER OIL,ANHYDROUS",876,0.28,99.48,0,371,256,4,0,608,0,0,1.8,2.8,0,1,0,0,1
"4",1004,"CHEESE,BLUE",353,21.4,28.74,2.34,194,75,528,0.31,331,0.5,0,0.5,0.25,0,1,1,0,1
"5",1005,"CHEESE,BRICK",371,23.24,29.68,2.79,819,94,674,0.43,168,0.51,0,0.5,0.26,1,1,1,0,1
"6",1006,"CHEESE,BRIE",334,20.75,27.68,0.45,889,100,184,0.5,186,0.45,0,0.5,0.24,1,1,1,0,1
"7",1007,"CHEESE,CAMEMBERT",300,19.8,24.26,0.46,1084,72,388,0.33,225,0.46,0,0.4,0.21,1,1,1,0,1
"8",1008,"CHEESE,CARAWAY",376,25.18,29.2,3.06,946,93,673,0.64,863,8.20492025989368,0,0.577190904784462,1.45826641912277,1,1,1,0,1
"9",1009,"CHEESE,CHEDDAR",403,24.9,33.14,1.28,882,105,721,0.68,876,0.52,0,0.6,0.29,1,1,1,0,1
"10",1010,"CHEESE,CHESHIRE",387,23.37,30.6,4.78,960,103,643,0.21,868,8.20492025989368,0,0.577190904784462,1.45826641912277,1,1,1,0,1
"11",1011,"CHEESE,COLBY",394,23.76,32.11,2.57,866,95,685,0.76,158,0.52,0,0.6,0.28,1,1,1,0,1
"12",1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",98,11.12,4.3,3.38,596,17,83,0.07,133,2.67,0,0.1,0.08,0,0,0,0,0
"13",1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",97,10.69,3.85,4.61,575,13,53,0.16,852,2.38,1.4,0,0.04,0,0,0,0,0
"14",1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",72,10.34,0.29,6.66,561,7,86,0.15,169,1.85,0,0,0.01,0,0,0,0,0
